Level	Rule Name	Subject	Property	Value
WARN	missing_definition	obo:IDPO_0000087	IAO:0000115	
WARN	missing_definition	obo:IDPO_0000088	IAO:0000115	
WARN	missing_xrefs	obo:IDPO_0000001	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000002	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000003	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000004	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000006	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000007	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000009	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000010	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000011	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000012	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000013	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000014	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000015	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000016	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000018	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000019	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000020	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000021	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000022	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000023	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000028	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000029	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000030	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000031	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000032	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000033	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000036	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000037	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000038	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000039	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000040	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000041	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000042	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000043	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000044	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000045	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000046	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000047	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000048	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000056	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000057	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000058	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000059	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000060	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000061	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000062	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000063	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000064	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000065	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000075	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000078	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000080	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000081	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000082	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000083	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000084	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000085	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000087	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000088	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:IDPO_0000089	oboInOwl:hasDbXref	
